tag	exercise_code
TB R Shoulder External rotation at 45	GEN225948
TB L Shoulder External rotation at 45	GEN225948
TB R Shoulder Internal rotation at 45	XGEN1708
TB L Shoulder Internal rotation at 45	XGEN1708
TB R Shoulder External rotation at 90	XGEN1707
TB L Shoulder External rotation at 90	XGEN1707
TB R Shoulder Internal rotation at 90	GEN16406
TB L Shoulder Internal rotation at 90	GEN16406
TB Scapular retraction (Horizontal abduction)- bilateral	GEN217893
TB L Scapular retraction (Horizontal abduction)	GEN198422
TB R Shoulder Horizontal adduction 	GEN11970
TB L Shoulder Horizontal adduction 	GEN11970
TB L PNF	XGEN133
TB R PNF	XGEN133
TB Serratus punch bilateral 	GEN196471
TB R Serratus punch	GEN41427
TB Bilateral Rows (Bent elbow)	XGEN1505
TB L Rows (Bent elbow)	GEN316267
TB  Low rows (Straight elbow)	GEN120907
TB L Low rows (Straight elbow)	GEN120907
TB R Shoulder flexion (scaption plane)	GEN2543
TB L Shoulder flexion (scaption plane)	GEN2543
DB R Flexion (180, straight arm) standing	GEN23555
DB L Flexion (180, straight arm) standing	GEN23555
DB R Flexion (90, straight arm) standing	GEN101499
DB L Flexion (90, straight arm) standing	GEN101499
DB R Flexion (90, straight arm) crook lying	GEN624164
DB L Flexion (90, straight arm) crook lying	GEN624164
DB R Extension prone	GEN87075
DB L Extension prone	GEN87075
DB R Abduction (180, straight arm) standing	GEN23535
DB L Abduction (180, straight arm) standing	GEN23535
DB R Abduction (90, straight arm) standing	GEN102173
DB L Abduction (90, straight arm) standing	GEN102173
DB R Abduction (90, straight arm) side lying	XGEN2134
DB L Abduction (90, straight arm) side lying	XGEN2134
DB R Abduction (90, bent arm) standing	GEN15453
DB L Abduction (90, bent arm) standing	GEN15453
DB W standing	GEN435956
DB I prone	GEN95303
DB Y prone	GEN191683
DB  T prone	GEN211860
DB  W prone	GEN191687
DB R Shoulder press at 90 abduction standing	GEN314478
DB L Shoulder press at 90 abduction standing	GEN314478
DB R Chest press at 0 abduction	GEN286088
DB L Chest press at 0 abduction	GEN286088
DB R Chest press at 90 abduction	XGEN1547
DB L Chest press at 90 abduction	XGEN1547
DB R Serratus punch	GEN41427
DB L Serratus punch	GEN41427
